ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
2,Llama 3,Fine-Tuned,Prompt 2,"""他们之前在大殿内也讨论过，彼此都非常为难，因为荣耀弟子的身份，太重要了，在这之前，给的都是战死之人，还从来没过活人，可如今白小纯居然活蹦乱跳的出现在自己面前 这让他们在刚刚知道这个消息时，一个个都愣了一下""","That was one of the reasons why the discussion had been so difficult earlier. The position of Prestige disciple was extremely important, and had previously only been conferred upon people who had died in battle, never living disciples. And yet, here Bai Xiaochun was right in front of them, healthy and no worse for wear That was one reason why all of them had been so shocked to hear the news that he was alive","They had discussed the matter in the main hall, and all of them were very worried. The status of a Prestige disciple was very important, and in the past, they had only ever given it to people who had died in battle. Never had they given it to someone who was still alive. And yet, Bai Xiaochun was now standing right in front of them, alive and kicking. When they had first heard the news, they had all been shocked",,,,,
1,MBart,Base,Texto Origen,"""但此茶却是个例外，要一口气喝掉""","ut this tea was different, one had to gulp it in one mouthful",But this is an exception. Take a breath,,,,,Nada de té
2,Llama 3,Fine-Tuned,Prompt 2,"""那么对不起得很，两柄剑都到了做哥哥的家里啦""","Then I am really very sorry, for both daggers would belong to my family then","I am sorry, but both swords are in my brother house",,,,,
1,MBart,Base,Texto Origen,"""在这过程中，不死皮，不死金刚，不死筋 也都全部恢复，甚至白小纯有种强烈的感觉，此刻的不死卷，与他之前所拥有的，不大一样""","As it happened, his Undying Skin, Undying Heavenly King, and Undying Tendons all recovered completely. Furthermore, Bai Xiaochun could sense that this version of the Undying Codex was somehow different than what he had cultivated before","In the course of this process, the non-dead skin, the non-dead gold, the non-dead muscle, were all restored, and even the white boy had a strong feeling, and now the non-dead curve was not as much as he had had before",,,,,Nomrbes propios...
2,Llama 3,Fine-Tuned,Prompt 1,"""那也好，我宰了八人，再来助你""",I will come and help you after I have massacred these eight. Precisely, I will kill eight people and then I will help you,,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""你居然一直在欺骗我们""", You actually were deceiving us,You have been deceiving us all along,,,,,
1,MBart,Fine-Tuned,Texto Origen,"""提到弟弟丁言。 丁齐满脸悲伤愤怒""","Mentioning his brother, Ding Qi was extremely angry and upset","Mentioning his younger brother Ding Yan, Ding Qi had a sad and furious expression",,,,,
1,MBart,Base,Texto Origen,"""智道三元要素，分别是念、意、情""","Wisdom path had three elements, thoughts, wills, and emotions","The Three Elements of Wisdom are thought, thought, and feeling",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""在这过程中，不死皮，不死金刚，不死筋 也都全部恢复，甚至白小纯有种强烈的感觉，此刻的不死卷，与他之前所拥有的，不大一样""","As it happened, his Undying Skin, Undying Heavenly King, and Undying Tendons all recovered completely. Furthermore, Bai Xiaochun could sense that this version of the Undying Codex was somehow different than what he had cultivated before","During that time, his Undying Skin, Undying Heavenly King, and Undying Tendons all recovered. In fact, he could sense that his Undying Codex was different than it had been before",,,,,
2,Llama 3,Base,Prompt 2,"""这落魄谷中，居然有盗天真传""",Luo Po valley actually has a Thieving Heaven true inheritance?,"In this desolate Luòchué Gǔ, the legendary Tiānzhēn Zhēnchuán unexpectedly lay hidden, waiting to be unearthed by one worthy of its secrets.",,,,,
2,Llama 3,Base,Prompt 1,"""大小姐，你不妨将此事交给我处理，我来找她谈，付出一些代价也无妨""","Missy, leave this to me, I will negotiate with her, it is okay if we pay a small price","Miss, you might as well let me handle this matter, I'll go talk to her, and it's alright to pay some price",,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation","Suan Bu Jin, you are a wisdom path Gu Immortal, you should understand the situation",,,,,
2,Llama 3,Base,Prompt 1,"""领队的武官叫道""",The leader shouted in response,The commander of the team is called Dào,,,,,Explica env ez de traducir
2,Llama 3,Base,Prompt 1,"""古月方想口中喃喃，捂住心口""","Gu Yue Fang Xiang muttered, his hand over his heart","Gǔ Yuè murmured to himself, covering his mouth with his hand",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""而现在，他只有将自身强悍到了极致后，才有把握，将那看似打不死的雷山，直接轰杀，一旦将其轰杀，白小纯就可以在无人追击中，彻底逃遁出去""","Right now, Bai Xiaochun knew that he had to become as powerful as he possibly could. He needed to cut down the seemingly unkillable Lei Shan, which would give them the oppor tunity to truly escape","As of this moment, he had no other option than to try to get his hands on the seemingly invincible Lei Shan. If he did, then he would be able to flee from everyone else",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""黄蓉道""",Huang Rong said, Huang Rong said,,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""若非方源不想在炎煌雷泽仙僵面前，暴露了定仙游和自己的身份，他早就赶到了""","If not for the fact that Fang Yuan did not want to expose Fixed Immortal Travel and his identity in front of the Blazing Glory Lightning Brilliance immortal zombie, he would have arrived long ago","If Fang Yuan did not want to expose Fixed Immortal Travel and his identity in front of Immortal Zombie Yi Huang Lei Ze, he would have arrived long ago",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""他最后说，我十分伤心，跟着你来的日子也不远了""",He finally said that his grief was so deep that the day he would follow her to the grave would not be far away,He said that I was very sad and that the day when I would follow him was not far away,,,,,
2,Llama 3,Base,Prompt 1,"""提到弟弟丁言。 丁齐满脸悲伤愤怒""","Mentioning his brother, Ding Qi was extremely angry and upset",Mentioning his younger brother Ding Yan. Ding Qi's face was full of sadness and anger.,,,,,
2,Llama 3,Base,Prompt 2,"""一灯道""",Yideng said,"Yideng Dao, a lone lantern's gentle glow, illuminated the path ahead, like a guiding beacon in the darkness, as the whispers of the wind carried the faint scent of distant mountains and the soft rustle of leaves, beckoning the wanderer to embark on a journey through the realms of the unknown.",,,,,Alucinación
