ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
2,Llama 3,Base,Prompt 2,"""气海老祖，你我之间其实并没有什么大的矛盾，完全可以和平共处""","Qi Sea Ancestor, we do not have a huge grudge between us, we can coexist in peace","Qihai Laozu, between you and me, there is actually no great conflict, we can completely coexist in peace",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦""","The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before","The north bank disciples were cheering for Shangguan Tianyou, which made him feel a bit awkward. He knew that they weren’t cheering for him, but rather, for Bai Xiaochun. If Bai Xiaochun had been fighting a pig, the north bank disciples would have cheered for the pig. That made Shangguan Tianyou even more displeased with Bai Xiaochun",,,,,
2,Llama 3,Base,Prompt 2,"""刚想到这里，陆畏因眼前忽然一黑""","While thinking of this, Lu Wei Yin’s vision suddenly turned dark","As soon as this thought occurred to him, Lù Wèi's vision suddenly darkened, as if a veil of darkness had descended before his eyes, and he felt an inexplicable sense of foreboding, like the whisper of a winter wind that sends shivers down the spine.",,,,,Alucinación
2,Llama 3,Fine-Tuned,Prompt 1,"""提到弟弟丁言。 丁齐满脸悲伤愤怒""","Mentioning his brother, Ding Qi was extremely angry and upset","Mentioning his younger brother Ding Yan, Ding Qi’s face was filled with sadness and anger",,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""我全身发抖，冷得很""","I was shaking all over, I was very cold.","My whole body is shaking, I am very cold",,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""方源面色仍旧冷漠，就算是道歉，都是一脸高傲的样子""","Fang Yuan had a cold expression, even when he apologized, he had an arrogant look","Fang Yuan’s expression was still cold, even when he apologized, he had a proud expression",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","Immediately, the medicinal liquid formed by the hundred plants poured down into the blood lake. The two liquids seemed to repel each other, and as soon as they touched, they began to burn with black flames that covered the entire lake",,,,,
1,MBart,Base,Texto Origen,"""方源，你怎么也想不到，会有今天吧""","Fang Yuan, you had never in your wildest imagination, expect this day to occur right","Fangyuan, you can't imagine, there'll be today",,,,,Tecnicamente correcto
2,Llama 3,Base,Prompt 2,"""那么对不起得很，两柄剑都到了做哥哥的家里啦""","Then I am really very sorry, for both daggers would belong to my family then","It seems that apologies are in order, for both swords have now arrived at Dàgē's residence",,,,,
2,Llama 3,Base,Prompt 1,"""他们之前在大殿内也讨论过，彼此都非常为难，因为荣耀弟子的身份，太重要了，在这之前，给的都是战死之人，还从来没过活人，可如今白小纯居然活蹦乱跳的出现在自己面前 这让他们在刚刚知道这个消息时，一个个都愣了一下""","That was one of the reasons why the discussion had been so difficult earlier. The position of Prestige disciple was extremely important, and had previously only been conferred upon people who had died in battle, never living disciples. And yet, here Bai Xiaochun was right in front of them, healthy and no worse for wear That was one reason why all of them had been so shocked to hear the news that he was alive","They had discussed this before in the grand hall, and they were all extremely hesitant, because the identity of a Glory Sect disciple was too important. Previously, they had only given it to those who had died in battle, and never to a living person. But now, Bai Xiaochun had appeared alive and kicking in front of them, which had left them all stunned when they had first heard the news.",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""方源心中有明悟""",Fang Yuan comprehended inwardly,Fang Yuan had a clear understanding,,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""黄蓉道""",Huang Rong said,Huang Rong said,,,,,Devuelve el prompt
2,Llama 3,Fine-Tuned,Prompt 2,"""古月方想口中喃喃，捂住心口""","Gu Yue Fang Xiang muttered, his hand over his heart","Gu Yue Fang Xiang muttered, holding his chest",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""你居然一直在欺骗我们""", You actually were deceiving us,You have been deceiving us,,,,,
1,MBart,Fine-Tuned,Texto Origen,"""元始仙尊的复活之法，方源知晓其中一个""",Fang Yuan knew one of Primordial Origin Immortal Venerable’s revival methods,Fang Yuan knew of one of Primordial Origin Immortal Venerable’s revival methods,,,,,
2,Llama 3,Base,Prompt 2,"""若非方源不想在炎煌雷泽仙僵面前，暴露了定仙游和自己的身份，他早就赶到了""","If not for the fact that Fang Yuan did not want to expose Fixed Immortal Travel and his identity in front of the Blazing Glory Lightning Brilliance immortal zombie, he would have arrived long ago","Had it not been for Fāng Yuán's reluctance to reveal his and Dìng Xiān Yóu's identities before the eerie, corpse-like face of Yán Huáng Léi Zé, he would have hastened to the scene long ago.",,,,,
2,Llama 3,Base,Prompt 1,"""对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象""","To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them","For those who fight with their bare hands, these wooden stakes as hard as steel will leave a deep impression on them",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","Instantly, the medicinal liquid that had been formed by the medicinal plants began to fall onto the lake of blood, and as they did, it was impossible to prevent them from oppos eding each other. Black flames erupted out, covering the entire lake of blood",,,,,
2,Llama 3,Base,Prompt 1,"""但这个计划总会有完成的那一天，咱们不抓紧这次难得的机会怎么行""","But this plan will eventually be completed, aren’t we grabbing onto this chance when it is available to us","But this plan will eventually be completed one day, how can we not seize this rare opportunity",,,,,
1,MBart,Base,Texto Origen,"""大小姐，你不妨将此事交给我处理，我来找她谈，付出一些代价也无妨""","Missy, leave this to me, I will negotiate with her, it is okay if we pay a small price","Miss, please let me deal with it. I will come and talk to her, and I will pay for it",,,,,falla al final
1,MBart,Base,Texto Origen,"""苏秦背剑""",Reviving Qin Behind the Sword,Su Qin,,,,,se qwueda solo con el nombre
2,Llama 3,Fine-Tuned,Prompt 2,"""欧阳锋道""",Hong Qigong said,Ouyang Feng said,,,,,
2,Llama 3,Base,Prompt 1,"""柯镇恶听了两人对答，知道郭靖懂得谦抑，心下也自喜欢""",Ke Zhen E was delighted listening to their conversation. He was proud that Guo Jing was well-behaved,"Ke Zhen'e heard the conversation between the two, knew that Guo Jing understood humility, and also liked him in his heart",,,,,
