Model,Metric,Prompt,Score
gemma3_1b,comet,PROMPT 2,52.5
gemma3_1b,comet,PROMPT 3,57.93
gemma3_1b,comet,PROMPT 4,63.17
gemma3_270m,sacrebleu,PROMPT 0,1.86
gemma3_270m,sacrebleu,PROMPT 1,0.93
gemma3_270m,sacrebleu,PROMPT 2,0.97
gemma3_270m,sacrebleu,PROMPT 3,0.45
gemma3_270m,sacrebleu,PROMPT 4,1.27
gemma3_270m,chrf2,PROMPT 0,12.37
gemma3_270m,chrf2,PROMPT 1,9.82
gemma3_270m,chrf2,PROMPT 2,8.49
gemma3_270m,chrf2,PROMPT 3,7.88
gemma3_270m,chrf2,PROMPT 4,13.0
gemma3_270m,rougeL_f1,PROMPT 0,11.76
gemma3_270m,rougeL_f1,PROMPT 1,5.42
gemma3_270m,rougeL_f1,PROMPT 2,6.35
gemma3_270m,rougeL_f1,PROMPT 3,7.73
gemma3_270m,rougeL_f1,PROMPT 4,9.53
gemma3_270m,meteor,PROMPT 0,10.91
gemma3_270m,meteor,PROMPT 1,5.75
gemma3_270m,meteor,PROMPT 2,6.26
gemma3_270m,meteor,PROMPT 3,6.56
gemma3_270m,meteor,PROMPT 4,8.87
gemma3_270m,comet,PROMPT 0,48.0
gemma3_270m,comet,PROMPT 1,39.66
gemma3_270m,comet,PROMPT 2,51.45
gemma3_270m,comet,PROMPT 3,50.25
gemma3_270m,comet,PROMPT 4,50.32
gemma3_4b,sacrebleu,PROMPT 0,8.56
gemma3_4b,sacrebleu,PROMPT 1,1.9
gemma3_4b,sacrebleu,PROMPT 2,0.87
gemma3_4b,sacrebleu,PROMPT 3,8.63
gemma3_4b,sacrebleu,PROMPT 4,6.49
gemma3_4b,chrf2,PROMPT 0,34.27
gemma3_4b,chrf2,PROMPT 1,24.73
gemma3_4b,chrf2,PROMPT 2,19.92
gemma3_4b,chrf2,PROMPT 3,32.88
gemma3_4b,chrf2,PROMPT 4,28.37
gemma3_4b,rougeL_f1,PROMPT 0,35.68
gemma3_4b,rougeL_f1,PROMPT 1,20.73
gemma3_4b,rougeL_f1,PROMPT 2,15.13
gemma3_4b,rougeL_f1,PROMPT 3,35.09
gemma3_4b,rougeL_f1,PROMPT 4,26.48
gemma3_4b,meteor,PROMPT 0,35.15
gemma3_4b,meteor,PROMPT 1,25.59
gemma3_4b,meteor,PROMPT 2,21.55
gemma3_4b,meteor,PROMPT 3,33.89
gemma3_4b,meteor,PROMPT 4,26.49
gemma3_4b,comet,PROMPT 0,68.2
gemma3_4b,comet,PROMPT 1,59.89
gemma3_4b,comet,PROMPT 2,55.3
gemma3_4b,comet,PROMPT 3,66.66
gemma3_4b,comet,PROMPT 4,61.66
gemma3_27b,sacrebleu,PROMPT 0,10.64
gemma3_27b,sacrebleu,PROMPT 1,1.03
gemma3_27b,sacrebleu,PROMPT 2,0.77
gemma3_27b,sacrebleu,PROMPT 3,7.43
gemma3_27b,sacrebleu,PROMPT 4,6.4
gemma3_27b,chrf2,PROMPT 0,36.46
gemma3_27b,chrf2,PROMPT 1,19.78
gemma3_27b,chrf2,PROMPT 2,17.92
gemma3_27b,chrf2,PROMPT 3,32.14
gemma3_27b,chrf2,PROMPT 4,32.71
gemma3_27b,rougeL_f1,PROMPT 0,40.29
gemma3_27b,rougeL_f1,PROMPT 1,12.45
gemma3_27b,rougeL_f1,PROMPT 2,12.14
gemma3_27b,rougeL_f1,PROMPT 3,34.63
gemma3_27b,rougeL_f1,PROMPT 4,33.83
gemma3_27b,meteor,PROMPT 0,39.41
gemma3_27b,meteor,PROMPT 1,21.49
gemma3_27b,meteor,PROMPT 2,20.21
gemma3_27b,meteor,PROMPT 3,32.4
gemma3_27b,meteor,PROMPT 4,33.25
gemma3_27b,comet,PROMPT 0,71.5
gemma3_27b,comet,PROMPT 1,54.69
gemma3_27b,comet,PROMPT 2,54.42
gemma3_27b,comet,PROMPT 3,62.92
gemma3_27b,comet,PROMPT 4,68.96
