Modelo;Texto_Raw;Texto_Input;Traduccion_Raw
OpenAI;"对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象";To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them;"For those who fight hand-to-hand, these wooden spikes as hard as steel will leave a deep impression on them."
OpenAI;"古月方想口中喃喃，捂住心口";Gu Yue Fang Xiang muttered, his hand over his heart;"Gu Yue was murmuring to herself, covering her heart."
OpenAI;"若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊";If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it;"If it were on flat ground, what would a small path of a foot count for? But under this stone bridge, facing the deep valley, let alone walking, just looking at it would make one feel terrified."
OpenAI;"虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处";Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building;"Although I do not have a golden bloodline, participating in the royal court struggle is just to mix into the True Yang Tower of the Eighty-Eight Corners to reap benefits."
OpenAI;"反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦";The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before;"Instead, the northern shore is actually cheering for Shangguan Tianyou at this moment. This cheer made Shangguan Tianyou feel uncomfortable; he knew the northern shore was not cheering for him, but for Bai Xiaochun. In other words, even if a pig were fighting against Bai Xiaochun, the northern shore would still cheer for that pig. Thinking of this, Shangguan Tianyou felt even more displeased with Bai Xiaochun in his heart."
OpenAI;"在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势";In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage;"In terms of immortal essence, the Giant Sun Immortal Venerable should have the advantage. In terms of refining Gu, Fang Yuan has the advantage."
OpenAI;"那么对不起得很，两柄剑都到了做哥哥的家里啦";Then I am really very sorry, for both daggers would belong to my family then;"I'm very sorry, but both swords have arrived at the elder brother's home."
OpenAI;"方源，你怎么也想不到，会有今天吧";Fang Yuan, you had never in your wildest imagination, expect this day to occur right;"Fang Yuan, you never expected today would come, did you?"
OpenAI;"提到弟弟丁言。 丁齐满脸悲伤愤怒";Mentioning his brother, Ding Qi was extremely angry and upset;"Speaking of his younger brother Ding Yan, Ding Qi's face was filled with sadness and anger."
OpenAI;"黄蓉道";Huang Rong said;"Huang Rong said."
OpenAI;"大小姐，你不妨将此事交给我处理，我来找她谈，付出一些代价也无妨";Missy, leave this to me, I will negotiate with her, it is okay if we pay a small price;"Miss, you might as well leave this matter to me to handle. I will talk to her, and it's fine to pay some price."
OpenAI;"现在还不是换取变化道仙蛊方，炼制变化道的其他仙蛊的时候";Now was not the time to exchange them for transformation path Immortal Gu recipes, or the time to refine transformation path Immortal Gu;"Now is not the time to exchange for the Transformation Path Immortal Gu, nor to refine other Immortal Gu of the Transformation Path."
OpenAI;"苏秦背剑";Reviving Qin Behind the Sword;"Su Qin carried the sword on his back."
OpenAI;"轰的一声，他就与前方的元妖子与通天道人，直接撞在了一起，元妖子喷出鲜血，通天道人一样鲜血狂喷，二人倒退时，噬灵上人与广目天尊，哪怕有些迟疑，可还是前行阻拦，与白小纯再次碰触";A boom could be heard as he slammed into Prince Ur-Demon and Daoist Heavenspan. Blood sprayed out of both of their mouths as they were sent tumbling to the side. As for Reverend Devourer and Celestial Virūpākṣa, although they were still leery about the situation, they still tried to block Bai Xiaochun’s path;"With a loud bang, he collided directly with the Yuan Yaozi and the Tongtian Daoist ahead, causing Yuan Yaozi to spurt blood and the Tongtian Daoist to also spout blood wildly. As the two retreated, the Soul Devouring Upper and the Guangmu Tianzun, though somewhat hesitant, still moved forward to block and came into contact with Bai Xiaochun again."
OpenAI;"其中一个手段，是关于命牌蛊、魂灯蛊";One of the methods was about life tablet Gu and soul lantern Gu;"One of the methods is related to the Life Plate Gu and the Soul Lamp Gu."
OpenAI;"他最后说，我十分伤心，跟着你来的日子也不远了";He finally said that his grief was so deep that the day he would follow her to the grave would not be far away;"He finally said, I am very sad, the days of following you are not far away."
OpenAI;"刚想到这里，陆畏因眼前忽然一黑";While thinking of this, Lu Wei Yin’s vision suddenly turned dark;"Just as he thought of this, Lu Wei suddenly saw everything go black before his eyes."
OpenAI;"欧阳锋道";Hong Qigong said;"Ouyang Feng said."
OpenAI;"一灯道";Yideng said;"One Lamp Path."
OpenAI;"大部分风刃则成功地绕过水莲，在后方重新汇聚，形成一个稍小的纠风，仍旧向那头荒级虚兽撞去";But most of the wind blades dodged the water lotus and gathered together again, forming a smaller entangled wind, and charging towards the desolate level phantom beast;"Most of the wind blades successfully bypassed the water lotus, regrouping behind to form a slightly smaller vortex, still crashing towards that wild-level virtual beast."
OpenAI;"嘴巴张得老大，露出一嘴齐整的牙齿，牙关紧闭";The mouths opened up with jaws clenched, revealing a set of even teeth;"His mouth was wide open, revealing a full set of neat teeth, his jaw tightly closed."
OpenAI;"伊上帝之降命，何修短之难哉";Why did God make someone is life so short;"By the decree of the God of Yi, what difficulty is there in life and death?"
OpenAI;"东方长凡点点头";Dong Fang Chang Fan nodded;"Dongfang Changfan nodded slightly."
OpenAI;"倒是真不错";He is truly a good choice;"It is indeed not bad."
OpenAI;"泰琴拼尽全力，不惜施展损害自己的手段，终于将王蚁收服";Tai Qin gave it her all and used methods that carried backlash to herself but finally subdued the ant queen;"Taiqin exerted all her strength, not hesitating to use methods that harmed herself, and finally subdued the king ant."
OpenAI;"柯镇恶听了两人对答，知道郭靖懂得谦抑，心下也自喜欢";Ke Zhen E was delighted listening to their conversation. He was proud that Guo Jing was well-behaved;"Ke Zhen'e listened to the two's exchange and knew that Guo Jing understood humility, which made him feel pleased in his heart."
OpenAI;"但此茶却是个例外，要一口气喝掉";ut this tea was different, one had to gulp it in one mouthful;"But this tea is an exception; it must be drunk in one go."
OpenAI;"领队的武官叫道";The leader shouted in response;"The leading military officer shouted."
OpenAI;"而现在，他只有将自身强悍到了极致后，才有把握，将那看似打不死的雷山，直接轰杀，一旦将其轰杀，白小纯就可以在无人追击中，彻底逃遁出去";Right now, Bai Xiaochun knew that he had to become as powerful as he possibly could. He needed to cut down the seemingly unkillable Lei Shan, which would give them the oppor tunity to truly escape;"And now, he can only be sure that after he has strengthened himself to the extreme, he can directly kill that seemingly indestructible Thunder Mountain. Once he kills it, Bai Xiaochun can escape completely without being pursued."
OpenAI;"气海老祖，你我之间其实并没有什么大的矛盾，完全可以和平共处";Qi Sea Ancestor, we do not have a huge grudge between us, we can coexist in peace;"Qi Hai Old Ancestor, there is actually no major conflict between you and me; we can completely coexist peacefully."
OpenAI;"若非方源不想在炎煌雷泽仙僵面前，暴露了定仙游和自己的身份，他早就赶到了";If not for the fact that Fang Yuan did not want to expose Fixed Immortal Travel and his identity in front of the Blazing Glory Lightning Brilliance immortal zombie, he would have arrived long ago;"If it weren't for Fang Yuan not wanting to expose the identity of the Immortal Wanderer and himself in front of the Yan Huang Thunder Marsh Immortal Zombie, he would have arrived long ago."
OpenAI;"常山yīn的过去，早已经成为一个关于英雄的传说，在北原大地上广为流传";Chang Shan Yin's past was a heroic tale, it was widely spread in northern plains;"The past of Changshan Yin has long become a legend about heroes, widely spread across the Northern Plains."
OpenAI;"我全身发抖，冷得很";I was shaking all over, I was very cold.;"I trembled all over, feeling very cold."
OpenAI;"这就是将来，巨阳仙尊血道有成之后，可以吞并长生天，使得自身实力实现恐怖暴涨";In the future, after Giant Sun I mmortal Venerable’sblood path cultivation reach ac ertain level, he could annex Longevity Heaven to raise his strength to at errifying level;"This is the future, after the Giant Sun Immortal Venerable achieves success in the Blood Path, he can devour the Eternal Heaven, causing his own strength to achieve a terrifying surge."
OpenAI;"元始仙尊的复活之法，方源知晓其中一个";Fang Yuan knew one of Primordial Origin Immortal Venerable’s revival methods;"Fang Yuan knows one of the methods for the resurrection of the Primordial Immortal Venerable."
OpenAI;"他们之前在大殿内也讨论过，彼此都非常为难，因为荣耀弟子的身份，太重要了，在这之前，给的都是战死之人，还从来没过活人，可如今白小纯居然活蹦乱跳的出现在自己面前 这让他们在刚刚知道这个消息时，一个个都愣了一下";That was one of the reasons why the discussion had been so difficult earlier. The position of Prestige disciple was extremely important, and had previously only been conferred upon people who had died in battle, never living disciples. And yet, here Bai Xiaochun was right in front of them, healthy and no worse for wear That was one reason why all of them had been so shocked to hear the news that he was alive;"They had previously discussed this in the main hall, and each felt very troubled because the identity of the honored disciple was too important. Before this, they had only given the names of those who died in battle, and never a living person. But now Bai Xiaochun unexpectedly appeared alive and kicking in front of them, which left them all stunned when they first learned this news."
OpenAI;"我去哪啊";Where am I supposed to go;"Where am I going?"
OpenAI;"老毒物放蛇，真不要脸";The Old Poison dispatches his snakes! Really shameless;"Old Poisonous Thing releasing snakes, really shameless."
OpenAI;"那也好，我宰了八人，再来助你";I will come and help you after I have massacred these eight. Precisely;"That's fine, I will kill eight people, then come to assist you."
OpenAI;"但这个计划总会有完成的那一天，咱们不抓紧这次难得的机会怎么行";But this plan will eventually be completed, aren’t we grabbing onto this chance when it is available to us;"But this plan will eventually have a day of completion; how can we not seize this rare opportunity?"
OpenAI;"智道三元要素，分别是念、意、情";Wisdom path had three elements, thoughts, wills, and emotions;"The three elements of the Wisdom Path are thought, intention, and emotion."
OpenAI;"方源心中有明悟";Fang Yuan comprehended inwardly;"Fang Yuan had a moment of clarity in his heart."
OpenAI;"他们是我的手下";Those are my men;"They are my subordinates."
OpenAI;"想这些有什么用";What use is there in thinking about this;"What use is there in thinking about these things?"
OpenAI;"这落魄谷中，居然有盗天真传";Luo Po valley actually has a Thieving Heaven true inheritance?;"In this desolate valley, there is actually a true transmission of the Heaven Stealing."
OpenAI;"在这过程中，不死皮，不死金刚，不死筋 也都全部恢复，甚至白小纯有种强烈的感觉，此刻的不死卷，与他之前所拥有的，不大一样";As it happened, his Undying Skin, Undying Heavenly King, and Undying Tendons all recovered completely. Furthermore, Bai Xiaochun could sense that this version of the Undying Codex was somehow different than what he had cultivated before;"During this process, the Undying Skin, Undying Diamond, and Undying Tendon all fully recovered, and even Bai Xiaochun had a strong feeling that the current Undying Scroll was quite different from what he had before."
OpenAI;"方源面色仍旧冷漠，就算是道歉，都是一脸高傲的样子";Fang Yuan had a cold expression, even when he apologized, he had an arrogant look;"Fang Yuan's expression remained indifferent; even when apologizing, he still looked proud."
OpenAI;"你居然一直在欺骗我们";You actually were deceiving us;"You have been deceiving us all along."
Claude;"算不尽仙友，你是智道蛊仙更当明白眼前的局势";Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation;"Immortal friend, you cannot calculate everything — as a Wisdom Dao Gu Immortal, you should understand the situation before you even more clearly."
Claude;"立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖";As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area;"Immediately, the medicinal liquid formed from over a hundred herbs suddenly fell, and the instant it made contact with the blood lake, as if there were a fierce mutual repulsion between them, it directly erupted, burning into black flames that covered the entire blood lake."
Claude;"对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象";To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them;"For those who fight bare-handed, these wooden spikes, as hard as steel, will leave a deep impression on them."
Claude;"古月方想口中喃喃，捂住心口";Gu Yue Fang Xiang muttered, his hand over his heart;"Gu Yuefang muttered under his breath, clutching his chest."
Claude;"若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊";If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it;"On flat ground, a narrow path of a foot or so would be nothing to speak of, but this stone beam hung over a deep gorge below — not only was walking across it difficult, even a single glance downward was enough to make one's heart tremble with fear."
Claude;"虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处";Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building;"Although I do not possess the Golden Bloodline, I participated in the Royal Court's struggle for supremacy precisely to blend into the Eighty-Eight-Cornered True Yang Tower and reap its benefits."
Claude;"反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦";The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before;"On the contrary, the North Bank was at this moment actually cheering for Shangguan Tianyou, and this cheering made Shangguan Tianyou feel deeply uncomfortable. He knew that the North Bank was not cheering for him, but for Bai Xiaochun — in other words, even if it had been a pig fighting against Bai Xiaochun, the North Bank would have cheered for that pig. Thinking of it this way, Shangguan Tianyou felt even more displeasure toward Bai Xiaochun in his heart."
Claude;"在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势";In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage;"In terms of immortal essence, Juyang Immortal Venerable should hold the advantage. In terms of Gu refinement, Fang Yuan holds the advantage."
Claude;"那么对不起得很，两柄剑都到了做哥哥的家里啦";Then I am really very sorry, for both daggers would belong to my family then;"Then I'm very sorry, but both swords have ended up in your elder brother's home."
Claude;"方源，你怎么也想不到，会有今天吧";Fang Yuan, you had never in your wildest imagination, expect this day to occur right;"Fang Yuan, you never could have imagined that this day would come."
Claude;"提到弟弟丁言。 丁齐满脸悲伤愤怒";Mentioning his brother, Ding Qi was extremely angry and upset;"At the mention of his younger brother Ding Yan, Ding Qi's face was filled with grief and fury."
Claude;"黄蓉道";Huang Rong said;"Huang Rong said."
Claude;"大小姐，你不妨将此事交给我处理，我来找她谈，付出一些代价也无妨";Missy, leave this to me, I will negotiate with her, it is okay if we pay a small price;"Young Miss, you may as well leave this matter to me to handle. I will go speak with her — paying some price is of no consequence."
Claude;"现在还不是换取变化道仙蛊方，炼制变化道的其他仙蛊的时候";Now was not the time to exchange them for transformation path Immortal Gu recipes, or the time to refine transformation path Immortal Gu;"Now is not yet the time to exchange for the Wisdom Dao Immortal Gu recipe and refine other Wisdom Dao Immortal Gu."
Claude;"苏秦背剑";Reviving Qin Behind the Sword;"Su Qin carried his sword on his back."
