Model,Prompt,Shot,Metric,Score
Gemma_3,1,5SHOT,rougeL_f1,28.32
Gemma_3,1,5SHOT,meteor,29.53
Gemma_3,1,5SHOT,bertscore,72.39
Gemma_3,1,5SHOT,comet,65.93
Gemma_3,1,10SHOT,sacrebleu,5.0
Gemma_3,1,10SHOT,chrf2,30.26
Gemma_3,1,10SHOT,ter,120.37
Gemma_3,1,10SHOT,rougeL_f1,31.21
Gemma_3,1,10SHOT,meteor,31.14
Gemma_3,1,10SHOT,bertscore,73.69
Gemma_3,1,10SHOT,comet,68.3
Gemma_3,2,0SHOT,sacrebleu,0.77
Gemma_3,2,0SHOT,chrf2,17.92
Gemma_3,2,0SHOT,ter,600.24
Gemma_3,2,0SHOT,rougeL_f1,12.14
Gemma_3,2,0SHOT,meteor,20.21
Gemma_3,2,0SHOT,bertscore,63.87
Gemma_3,2,0SHOT,comet,54.42
Gemma_3,2,1SHOT,sacrebleu,1.86
Gemma_3,2,1SHOT,chrf2,24.48
Gemma_3,2,1SHOT,ter,222.48
Gemma_3,2,1SHOT,rougeL_f1,21.38
Gemma_3,2,1SHOT,meteor,24.53
Gemma_3,2,1SHOT,bertscore,69.12
Gemma_3,2,1SHOT,comet,59.41
Gemma_3,2,2SHOT,sacrebleu,1.46
Gemma_3,2,2SHOT,chrf2,22.61
Gemma_3,2,2SHOT,ter,311.83
Gemma_3,2,2SHOT,rougeL_f1,20.37
Gemma_3,2,2SHOT,meteor,24.64
Gemma_3,2,2SHOT,bertscore,68.58
Gemma_3,2,2SHOT,comet,59.68
Gemma_3,2,3SHOT,sacrebleu,1.68
Gemma_3,2,3SHOT,chrf2,23.26
Gemma_3,2,3SHOT,ter,278.59
Gemma_3,2,3SHOT,rougeL_f1,21.02
Gemma_3,2,3SHOT,meteor,24.88
Gemma_3,2,3SHOT,bertscore,68.95
Gemma_3,2,3SHOT,comet,60.22
Gemma_3,2,5SHOT,sacrebleu,2.66
Gemma_3,2,5SHOT,chrf2,27.17
Gemma_3,2,5SHOT,ter,161.05
Gemma_3,2,5SHOT,rougeL_f1,24.61
Gemma_3,2,5SHOT,meteor,27.17
Gemma_3,2,5SHOT,bertscore,70.7
Gemma_3,2,5SHOT,comet,62.98
Gemma_3,2,10SHOT,sacrebleu,3.64
Gemma_3,2,10SHOT,chrf2,29.05
Gemma_3,2,10SHOT,ter,127.05
Gemma_3,2,10SHOT,rougeL_f1,26.93
Gemma_3,2,10SHOT,meteor,28.39
Gemma_3,2,10SHOT,bertscore,71.45
Gemma_3,2,10SHOT,comet,65.35
Gemma_3,3,0SHOT,sacrebleu,7.43
Gemma_3,3,0SHOT,chrf2,32.14
Gemma_3,3,0SHOT,ter,87.78
Gemma_3,3,0SHOT,rougeL_f1,34.63
Gemma_3,3,0SHOT,meteor,32.4
Gemma_3,3,0SHOT,bertscore,75.15
Gemma_3,3,0SHOT,comet,62.92
Gemma_3,3,1SHOT,sacrebleu,9.46
Gemma_3,3,1SHOT,chrf2,33.77
Gemma_3,3,1SHOT,ter,84.03
Gemma_3,3,1SHOT,rougeL_f1,37.8
Gemma_3,3,1SHOT,meteor,35.53
Gemma_3,3,1SHOT,bertscore,76.45
Gemma_3,3,1SHOT,comet,66.73
Gemma_3,3,2SHOT,sacrebleu,10.17
Gemma_3,3,2SHOT,chrf2,35.12
Gemma_3,3,2SHOT,ter,83.61
Gemma_3,3,2SHOT,rougeL_f1,39.7
Gemma_3,3,2SHOT,meteor,37.59
Gemma_3,3,2SHOT,bertscore,77.23
Gemma_3,3,2SHOT,comet,69.44
Gemma_3,3,3SHOT,sacrebleu,10.56
Gemma_3,3,3SHOT,chrf2,35.43
Gemma_3,3,3SHOT,ter,83.53
Gemma_3,3,3SHOT,rougeL_f1,40.18
Gemma_3,3,3SHOT,meteor,38.19
Gemma_3,3,3SHOT,bertscore,77.33
Gemma_3,3,3SHOT,comet,69.69
Gemma_3,3,5SHOT,sacrebleu,11.11
Gemma_3,3,5SHOT,chrf2,36.77
Gemma_3,3,5SHOT,ter,82.31
Gemma_3,3,5SHOT,rougeL_f1,42.02
Gemma_3,3,5SHOT,meteor,40.49
Gemma_3,3,5SHOT,bertscore,78.09
Gemma_3,3,5SHOT,comet,71.59
Gemma_3,3,10SHOT,sacrebleu,11.35
Gemma_3,3,10SHOT,chrf2,36.81
Gemma_3,3,10SHOT,ter,81.93
Gemma_3,3,10SHOT,rougeL_f1,42.34
Gemma_3,3,10SHOT,meteor,40.67
Gemma_3,3,10SHOT,bertscore,78.08
Gemma_3,3,10SHOT,comet,72.11
Gemma_3,4,0SHOT,sacrebleu,6.4
Gemma_3,4,0SHOT,chrf2,32.71
Gemma_3,4,0SHOT,ter,101.43
Gemma_3,4,0SHOT,rougeL_f1,33.83
Gemma_3,4,0SHOT,meteor,33.25
Gemma_3,4,0SHOT,bertscore,74.72
Gemma_3,4,0SHOT,comet,68.96
Gemma_3,4,1SHOT,sacrebleu,7.08
Gemma_3,4,1SHOT,chrf2,33.0
Gemma_3,4,1SHOT,ter,89.29
Gemma_3,4,1SHOT,rougeL_f1,35.04
Gemma_3,4,1SHOT,meteor,33.68
Gemma_3,4,1SHOT,bertscore,75.67
Gemma_3,4,1SHOT,comet,70.53
Gemma_3,4,2SHOT,sacrebleu,7.35
Gemma_3,4,2SHOT,chrf2,33.42
Gemma_3,4,2SHOT,ter,89.78
Gemma_3,4,2SHOT,rougeL_f1,36.06
Gemma_3,4,2SHOT,meteor,34.48
Gemma_3,4,2SHOT,bertscore,76.0
Gemma_3,4,2SHOT,comet,71.34
Gemma_3,4,3SHOT,sacrebleu,8.07
Gemma_3,4,3SHOT,chrf2,34.05
Gemma_3,4,3SHOT,ter,88.4
Gemma_3,4,3SHOT,rougeL_f1,37.03
Gemma_3,4,3SHOT,meteor,35.32
Gemma_3,4,3SHOT,bertscore,76.29
Gemma_3,4,3SHOT,comet,71.64
Gemma_3,4,5SHOT,sacrebleu,9.07
Gemma_3,4,5SHOT,chrf2,35.24
Gemma_3,4,5SHOT,ter,86.17
Gemma_3,4,5SHOT,rougeL_f1,39.12
Gemma_3,4,5SHOT,meteor,37.49
Gemma_3,4,5SHOT,bertscore,76.99
Gemma_3,4,5SHOT,comet,72.85
Gemma_3,4,10SHOT,sacrebleu,9.03
Gemma_3,4,10SHOT,chrf2,35.18
Gemma_3,4,10SHOT,ter,85.88
Gemma_3,4,10SHOT,rougeL_f1,38.82
Gemma_3,4,10SHOT,meteor,36.97
Gemma_3,4,10SHOT,bertscore,76.95
Gemma_3,4,10SHOT,comet,73.04
Gemma_3_QLoRA,0,0SHOT,sacrebleu,26.28
Gemma_3_QLoRA,0,0SHOT,chrf2,48.47
Gemma_3_QLoRA,0,0SHOT,ter,66.85
Gemma_3_QLoRA,0,0SHOT,rougeL_f1,54.54
Gemma_3_QLoRA,0,0SHOT,meteor,54.64
Gemma_3_QLoRA,0,0SHOT,bertscore,84.0
Gemma_3_QLoRA,0,0SHOT,comet,78.59
Gemma_3_QLoRA,0,1SHOT,sacrebleu,26.9
Gemma_3_QLoRA,0,1SHOT,chrf2,49.21
Gemma_3_QLoRA,0,1SHOT,ter,65.88
Gemma_3_QLoRA,0,1SHOT,rougeL_f1,55.94
Gemma_3_QLoRA,0,1SHOT,meteor,55.85
Gemma_3_QLoRA,0,1SHOT,bertscore,84.55
Gemma_3_QLoRA,0,1SHOT,comet,79.36
Gemma_3_QLoRA,0,2SHOT,sacrebleu,25.98
Gemma_3_QLoRA,0,2SHOT,chrf2,48.52
Gemma_3_QLoRA,0,2SHOT,ter,66.61
Gemma_3_QLoRA,0,2SHOT,rougeL_f1,54.69
Gemma_3_QLoRA,0,2SHOT,meteor,54.4
Gemma_3_QLoRA,0,2SHOT,bertscore,84.13
Gemma_3_QLoRA,0,2SHOT,comet,78.99
Gemma_3_QLoRA,0,3SHOT,sacrebleu,24.41
Gemma_3_QLoRA,0,3SHOT,chrf2,46.71
Gemma_3_QLoRA,0,3SHOT,ter,68.61
Gemma_3_QLoRA,0,3SHOT,rougeL_f1,52.62
Gemma_3_QLoRA,0,3SHOT,meteor,52.06
Gemma_3_QLoRA,0,3SHOT,bertscore,83.32
Gemma_3_QLoRA,0,3SHOT,comet,77.96
Gemma_3_QLoRA,0,5SHOT,sacrebleu,25.54
Gemma_3_QLoRA,0,5SHOT,chrf2,48.03
Gemma_3_QLoRA,0,5SHOT,ter,67.42
Gemma_3_QLoRA,0,5SHOT,rougeL_f1,53.98
Gemma_3_QLoRA,0,5SHOT,meteor,53.73
Gemma_3_QLoRA,0,5SHOT,bertscore,83.78
Gemma_3_QLoRA,0,5SHOT,comet,78.74
Gemma_3_QLoRA,0,10SHOT,sacrebleu,25.74
Gemma_3_QLoRA,0,10SHOT,chrf2,48.1
Gemma_3_QLoRA,0,10SHOT,ter,67.3
Gemma_3_QLoRA,0,10SHOT,rougeL_f1,53.94
Gemma_3_QLoRA,0,10SHOT,meteor,53.6
Gemma_3_QLoRA,0,10SHOT,bertscore,83.86
Gemma_3_QLoRA,0,10SHOT,comet,78.59
Gemma_3_QLoRA,1,0SHOT,sacrebleu,26.48
Gemma_3_QLoRA,1,0SHOT,chrf2,48.78
Gemma_3_QLoRA,1,0SHOT,ter,66.41
Gemma_3_QLoRA,1,0SHOT,rougeL_f1,55.05
Gemma_3_QLoRA,1,0SHOT,meteor,54.93
Gemma_3_QLoRA,1,0SHOT,bertscore,84.17
Gemma_3_QLoRA,1,0SHOT,comet,78.89
Gemma_3_QLoRA,1,1SHOT,sacrebleu,26.76
Gemma_3_QLoRA,1,1SHOT,chrf2,49.0
Gemma_3_QLoRA,1,1SHOT,ter,65.88
Gemma_3_QLoRA,1,1SHOT,rougeL_f1,55.71
Gemma_3_QLoRA,1,1SHOT,meteor,55.47
Gemma_3_QLoRA,1,1SHOT,bertscore,84.37
Gemma_3_QLoRA,1,1SHOT,comet,79.09
Gemma_3_QLoRA,1,2SHOT,sacrebleu,26.2
Gemma_3_QLoRA,1,2SHOT,chrf2,48.65
Gemma_3_QLoRA,1,2SHOT,ter,66.77
Gemma_3_QLoRA,1,2SHOT,rougeL_f1,54.53
Gemma_3_QLoRA,1,2SHOT,meteor,54.43
Gemma_3_QLoRA,1,2SHOT,bertscore,83.98
Gemma_3_QLoRA,1,2SHOT,comet,78.77
Gemma_3_QLoRA,1,3SHOT,sacrebleu,24.3
Gemma_3_QLoRA,1,3SHOT,chrf2,46.89
Gemma_3_QLoRA,1,3SHOT,ter,68.84
Gemma_3_QLoRA,1,3SHOT,rougeL_f1,52.51
Gemma_3_QLoRA,1,3SHOT,meteor,52.07
Gemma_3_QLoRA,1,3SHOT,bertscore,83.23
Gemma_3_QLoRA,1,3SHOT,comet,77.82
Gemma_3_QLoRA,1,5SHOT,sacrebleu,25.52
Gemma_3_QLoRA,1,5SHOT,chrf2,47.82
Gemma_3_QLoRA,1,5SHOT,ter,67.46
Gemma_3_QLoRA,1,5SHOT,rougeL_f1,53.87
Gemma_3_QLoRA,1,5SHOT,meteor,53.41
Gemma_3_QLoRA,1,5SHOT,bertscore,83.67
Gemma_3_QLoRA,1,5SHOT,comet,78.32
Gemma_3_QLoRA,1,10SHOT,sacrebleu,25.5
Gemma_3_QLoRA,1,10SHOT,chrf2,47.83
Gemma_3_QLoRA,1,10SHOT,ter,67.28
Gemma_3_QLoRA,1,10SHOT,rougeL_f1,53.86
Gemma_3_QLoRA,1,10SHOT,meteor,53.29
Gemma_3_QLoRA,1,10SHOT,bertscore,83.72
Gemma_3_QLoRA,1,10SHOT,comet,78.3
Gemma_3_QLoRA,2,0SHOT,sacrebleu,26.72
Gemma_3_QLoRA,2,0SHOT,chrf2,49.17
Gemma_3_QLoRA,2,0SHOT,ter,66.33
Gemma_3_QLoRA,2,0SHOT,rougeL_f1,55.57
Gemma_3_QLoRA,2,0SHOT,meteor,55.51
Gemma_3_QLoRA,2,0SHOT,bertscore,84.32
Gemma_3_QLoRA,2,0SHOT,comet,79.22
Gemma_3_QLoRA,2,1SHOT,sacrebleu,26.69
Gemma_3_QLoRA,2,1SHOT,chrf2,48.94
Gemma_3_QLoRA,2,1SHOT,ter,66.3
Gemma_3_QLoRA,2,1SHOT,rougeL_f1,55.46
Gemma_3_QLoRA,2,1SHOT,meteor,55.34
Gemma_3_QLoRA,2,1SHOT,bertscore,84.31
Gemma_3_QLoRA,2,1SHOT,comet,79.02
Gemma_3_QLoRA,2,2SHOT,sacrebleu,26.19
Gemma_3_QLoRA,2,2SHOT,chrf2,48.6
Gemma_3_QLoRA,2,2SHOT,ter,67.15
Gemma_3_QLoRA,2,2SHOT,rougeL_f1,54.37
Gemma_3_QLoRA,2,2SHOT,meteor,54.39
Gemma_3_QLoRA,2,2SHOT,bertscore,84.03
Gemma_3_QLoRA,2,2SHOT,comet,78.8
Gemma_3_QLoRA,2,3SHOT,sacrebleu,24.91
Gemma_3_QLoRA,2,3SHOT,chrf2,47.29
Gemma_3_QLoRA,2,3SHOT,ter,68.71
Gemma_3_QLoRA,2,3SHOT,rougeL_f1,52.79
Gemma_3_QLoRA,2,3SHOT,meteor,52.52
Gemma_3_QLoRA,2,3SHOT,bertscore,83.33
Gemma_3_QLoRA,2,3SHOT,comet,77.96
Gemma_3_QLoRA,2,5SHOT,sacrebleu,25.56
Gemma_3_QLoRA,2,5SHOT,chrf2,47.99
Gemma_3_QLoRA,2,5SHOT,ter,67.62
Gemma_3_QLoRA,2,5SHOT,rougeL_f1,54.0
Gemma_3_QLoRA,2,5SHOT,meteor,53.62
Gemma_3_QLoRA,2,5SHOT,bertscore,83.75
Gemma_3_QLoRA,2,5SHOT,comet,78.57
Gemma_3_QLoRA,2,10SHOT,sacrebleu,25.75
Gemma_3_QLoRA,2,10SHOT,chrf2,48.03
Gemma_3_QLoRA,2,10SHOT,ter,67.58
Gemma_3_QLoRA,2,10SHOT,rougeL_f1,54.13
Gemma_3_QLoRA,2,10SHOT,meteor,53.78
Gemma_3_QLoRA,2,10SHOT,bertscore,83.89
Gemma_3_QLoRA,2,10SHOT,comet,78.46
Gemma_3_QLoRA,3,0SHOT,sacrebleu,24.44
Gemma_3_QLoRA,3,0SHOT,chrf2,46.02
Gemma_3_QLoRA,3,0SHOT,ter,70.85
Gemma_3_QLoRA,3,0SHOT,rougeL_f1,48.4
Gemma_3_QLoRA,3,0SHOT,meteor,49.02
Gemma_3_QLoRA,3,0SHOT,bertscore,81.23
Gemma_3_QLoRA,3,0SHOT,comet,73.59
Gemma_3_QLoRA,3,1SHOT,sacrebleu,26.92
Gemma_3_QLoRA,3,1SHOT,chrf2,49.45
Gemma_3_QLoRA,3,1SHOT,ter,65.8
Gemma_3_QLoRA,3,1SHOT,rougeL_f1,55.73
Gemma_3_QLoRA,3,1SHOT,meteor,55.93
Gemma_3_QLoRA,3,1SHOT,bertscore,84.55
Gemma_3_QLoRA,3,1SHOT,comet,79.32
Gemma_3_QLoRA,3,2SHOT,sacrebleu,25.98
Gemma_3_QLoRA,3,2SHOT,chrf2,48.52
Gemma_3_QLoRA,3,2SHOT,ter,68.06
Gemma_3_QLoRA,3,2SHOT,rougeL_f1,54.72
Gemma_3_QLoRA,3,2SHOT,meteor,54.59
Gemma_3_QLoRA,3,2SHOT,bertscore,84.08
Gemma_3_QLoRA,3,2SHOT,comet,78.9
Gemma_3_QLoRA,3,3SHOT,sacrebleu,24.4
Gemma_3_QLoRA,3,3SHOT,chrf2,47.03
Gemma_3_QLoRA,3,3SHOT,ter,68.66
Gemma_3_QLoRA,3,3SHOT,rougeL_f1,52.57
Gemma_3_QLoRA,3,3SHOT,meteor,52.17
Gemma_3_QLoRA,3,3SHOT,bertscore,83.28
Gemma_3_QLoRA,3,3SHOT,comet,77.98
Gemma_3_QLoRA,3,5SHOT,sacrebleu,25.21
Gemma_3_QLoRA,3,5SHOT,chrf2,47.67
Gemma_3_QLoRA,3,5SHOT,ter,68.39
Gemma_3_QLoRA,3,5SHOT,rougeL_f1,53.68
Gemma_3_QLoRA,3,5SHOT,meteor,53.37
Gemma_3_QLoRA,3,5SHOT,bertscore,83.61
Gemma_3_QLoRA,3,5SHOT,comet,78.49
Gemma_3_QLoRA,3,10SHOT,sacrebleu,25.26
Gemma_3_QLoRA,3,10SHOT,chrf2,47.66
Gemma_3_QLoRA,3,10SHOT,ter,68.99
Gemma_3_QLoRA,3,10SHOT,rougeL_f1,53.65
Gemma_3_QLoRA,3,10SHOT,meteor,53.41
Gemma_3_QLoRA,3,10SHOT,bertscore,83.75
Gemma_3_QLoRA,3,10SHOT,comet,78.46
Gemma_3_QLoRA,4,0SHOT,sacrebleu,26.4
Gemma_3_QLoRA,4,0SHOT,chrf2,49.07
Gemma_3_QLoRA,4,0SHOT,ter,66.46
Gemma_3_QLoRA,4,0SHOT,rougeL_f1,55.34
Gemma_3_QLoRA,4,0SHOT,meteor,55.3
Gemma_3_QLoRA,4,0SHOT,bertscore,84.32
Gemma_3_QLoRA,4,0SHOT,comet,79.11
Gemma_3_QLoRA,4,1SHOT,sacrebleu,26.68
Gemma_3_QLoRA,4,1SHOT,chrf2,49.08
Gemma_3_QLoRA,4,1SHOT,ter,66.34
Gemma_3_QLoRA,4,1SHOT,rougeL_f1,55.65
Gemma_3_QLoRA,4,1SHOT,meteor,55.62
Gemma_3_QLoRA,4,1SHOT,bertscore,84.42
Gemma_3_QLoRA,4,1SHOT,comet,79.15
Gemma_3_QLoRA,4,2SHOT,sacrebleu,26.36
Gemma_3_QLoRA,4,2SHOT,chrf2,48.76
Gemma_3_QLoRA,4,2SHOT,ter,66.73
Gemma_3_QLoRA,4,2SHOT,rougeL_f1,54.49
Gemma_3_QLoRA,4,2SHOT,meteor,54.41
Gemma_3_QLoRA,4,2SHOT,bertscore,84.03
Gemma_3_QLoRA,4,2SHOT,comet,78.73
Gemma_3_QLoRA,4,3SHOT,sacrebleu,24.71
Gemma_3_QLoRA,4,3SHOT,chrf2,47.03
Gemma_3_QLoRA,4,3SHOT,ter,68.79
Gemma_3_QLoRA,4,3SHOT,rougeL_f1,52.56
Gemma_3_QLoRA,4,3SHOT,meteor,52.14
Gemma_3_QLoRA,4,3SHOT,bertscore,83.27
Gemma_3_QLoRA,4,3SHOT,comet,77.83
Gemma_3_QLoRA,4,5SHOT,sacrebleu,25.65
Gemma_3_QLoRA,4,5SHOT,chrf2,47.82
Gemma_3_QLoRA,4,5SHOT,ter,67.43
Gemma_3_QLoRA,4,5SHOT,rougeL_f1,54.05
Gemma_3_QLoRA,4,5SHOT,meteor,53.71
Gemma_3_QLoRA,4,5SHOT,bertscore,83.73
Gemma_3_QLoRA,4,5SHOT,comet,78.39
Gemma_3_QLoRA,4,10SHOT,sacrebleu,25.76
Gemma_3_QLoRA,4,10SHOT,chrf2,48.13
Gemma_3_QLoRA,4,10SHOT,ter,67.81
Gemma_3_QLoRA,4,10SHOT,rougeL_f1,53.76
Gemma_3_QLoRA,4,10SHOT,meteor,53.56
Gemma_3_QLoRA,4,10SHOT,bertscore,83.76
Gemma_3_QLoRA,4,10SHOT,comet,78.4
GLM_4,0,0SHOT,sacrebleu,9.57
GLM_4,0,0SHOT,chrf2,36.27
GLM_4,0,0SHOT,ter,89.49
GLM_4,0,0SHOT,rougeL_f1,39.47
GLM_4,0,0SHOT,meteor,38.97
GLM_4,0,0SHOT,bertscore,77.82
GLM_4,0,0SHOT,comet,72.49
GLM_4,0,1SHOT,sacrebleu,9.09
GLM_4,0,1SHOT,chrf2,35.67
GLM_4,0,1SHOT,ter,88.01
GLM_4,0,1SHOT,rougeL_f1,39.3
GLM_4,0,1SHOT,meteor,37.34
GLM_4,0,1SHOT,bertscore,77.88
GLM_4,0,1SHOT,comet,72.62
GLM_4,0,2SHOT,sacrebleu,8.06
GLM_4,0,2SHOT,chrf2,34.83
GLM_4,0,2SHOT,ter,89.48
GLM_4,0,2SHOT,rougeL_f1,38.97
GLM_4,0,2SHOT,meteor,36.76
GLM_4,0,2SHOT,bertscore,77.47
GLM_4,0,2SHOT,comet,72.49
GLM_4,0,3SHOT,sacrebleu,7.81
GLM_4,0,3SHOT,chrf2,34.58
GLM_4,0,3SHOT,ter,91.5
GLM_4,0,3SHOT,rougeL_f1,38.63
GLM_4,0,3SHOT,meteor,36.8
GLM_4,0,3SHOT,bertscore,77.69
GLM_4,0,3SHOT,comet,72.67
GLM_4,0,5SHOT,sacrebleu,7.36
GLM_4,0,5SHOT,chrf2,34.49
GLM_4,0,5SHOT,ter,89.95
GLM_4,0,5SHOT,rougeL_f1,38.04
GLM_4,0,5SHOT,meteor,35.92
GLM_4,0,5SHOT,bertscore,77.35
GLM_4,0,5SHOT,comet,72.37
GLM_4,0,10SHOT,sacrebleu,6.89
GLM_4,0,10SHOT,chrf2,33.51
GLM_4,0,10SHOT,ter,90.56
GLM_4,0,10SHOT,rougeL_f1,37.17
GLM_4,0,10SHOT,meteor,34.81
GLM_4,0,10SHOT,bertscore,77.14
GLM_4,0,10SHOT,comet,72.02
GLM_4,1,0SHOT,sacrebleu,4.76
GLM_4,1,0SHOT,chrf2,30.6
GLM_4,1,0SHOT,ter,112.11
GLM_4,1,0SHOT,rougeL_f1,29.17
GLM_4,1,0SHOT,meteor,30.49
GLM_4,1,0SHOT,bertscore,73.68
GLM_4,1,0SHOT,comet,67.69
GLM_4,1,1SHOT,sacrebleu,4.76
GLM_4,1,1SHOT,chrf2,30.04
GLM_4,1,1SHOT,ter,102.42
GLM_4,1,1SHOT,rougeL_f1,29.91
GLM_4,1,1SHOT,meteor,29.97
GLM_4,1,1SHOT,bertscore,74.19
GLM_4,1,1SHOT,comet,68.32
GLM_4,1,2SHOT,sacrebleu,4.27
GLM_4,1,2SHOT,chrf2,29.74
GLM_4,1,2SHOT,ter,103.87
GLM_4,1,2SHOT,rougeL_f1,29.01
GLM_4,1,2SHOT,meteor,28.76
GLM_4,1,2SHOT,bertscore,73.95
GLM_4,1,2SHOT,comet,68.25
GLM_4,1,3SHOT,sacrebleu,4.54
GLM_4,1,3SHOT,chrf2,30.22
GLM_4,1,3SHOT,ter,102.0
GLM_4,1,3SHOT,rougeL_f1,30.55
GLM_4,1,3SHOT,meteor,29.89
GLM_4,1,3SHOT,bertscore,74.55
GLM_4,1,3SHOT,comet,69.11
GLM_4,1,5SHOT,sacrebleu,4.39
GLM_4,1,5SHOT,chrf2,30.23
GLM_4,1,5SHOT,ter,99.44
GLM_4,1,5SHOT,rougeL_f1,31.05
GLM_4,1,5SHOT,meteor,29.78
GLM_4,1,5SHOT,bertscore,74.9
GLM_4,1,5SHOT,comet,69.86
GLM_4,1,10SHOT,sacrebleu,4.76
GLM_4,1,10SHOT,chrf2,30.79
GLM_4,1,10SHOT,ter,96.68
GLM_4,1,10SHOT,rougeL_f1,32.7
GLM_4,1,10SHOT,meteor,31.17
GLM_4,1,10SHOT,bertscore,75.48
GLM_4,1,10SHOT,comet,70.75
GLM_4,2,0SHOT,sacrebleu,4.08
GLM_4,2,0SHOT,chrf2,30.18
GLM_4,2,0SHOT,ter,129.24
GLM_4,2,0SHOT,rougeL_f1,26.86
GLM_4,2,0SHOT,meteor,29.72
GLM_4,2,0SHOT,bertscore,72.52
GLM_4,2,0SHOT,comet,65.39
GLM_4,2,1SHOT,sacrebleu,3.99
GLM_4,2,1SHOT,chrf2,29.88
GLM_4,2,1SHOT,ter,118.23
GLM_4,2,1SHOT,rougeL_f1,27.54
GLM_4,2,1SHOT,meteor,29.07
GLM_4,2,1SHOT,bertscore,73.15
GLM_4,2,1SHOT,comet,66.04
GLM_4,2,2SHOT,sacrebleu,3.66
GLM_4,2,2SHOT,chrf2,29.29
GLM_4,2,2SHOT,ter,118.18
GLM_4,2,2SHOT,rougeL_f1,27.6
GLM_4,2,2SHOT,meteor,28.22
GLM_4,2,2SHOT,bertscore,73.32
GLM_4,2,2SHOT,comet,66.61
GLM_4,2,3SHOT,sacrebleu,3.99
GLM_4,2,3SHOT,chrf2,29.79
GLM_4,2,3SHOT,ter,112.69
GLM_4,2,3SHOT,rougeL_f1,28.46
GLM_4,2,3SHOT,meteor,28.94
GLM_4,2,3SHOT,bertscore,73.84
GLM_4,2,3SHOT,comet,67.52
GLM_4,2,5SHOT,sacrebleu,3.95
