Model,Prompt,Shot,Metric,Score
gemma3_1b,PROMPT 2,2SHOT,meteor,20.0
gemma3_1b,PROMPT 2,2SHOT,bertscore,68.7
gemma3_1b,PROMPT 2,2SHOT,comet,58.67
gemma3_1b,PROMPT 2,3SHOT,sacrebleu,1.91
gemma3_1b,PROMPT 2,3SHOT,chrf2,24.63
gemma3_1b,PROMPT 2,3SHOT,ter,144.03
gemma3_1b,PROMPT 2,3SHOT,rougeL_f1,19.68
gemma3_1b,PROMPT 2,3SHOT,meteor,20.77
gemma3_1b,PROMPT 2,3SHOT,bertscore,69.0
gemma3_1b,PROMPT 2,3SHOT,comet,59.34
gemma3_1b,PROMPT 2,5SHOT,sacrebleu,2.01
gemma3_1b,PROMPT 2,5SHOT,chrf2,24.6
gemma3_1b,PROMPT 2,5SHOT,ter,149.04
gemma3_1b,PROMPT 2,5SHOT,rougeL_f1,19.98
gemma3_1b,PROMPT 2,5SHOT,meteor,20.6
gemma3_1b,PROMPT 2,5SHOT,bertscore,69.22
gemma3_1b,PROMPT 2,5SHOT,comet,60.0
gemma3_1b,PROMPT 2,10SHOT,sacrebleu,2.52
gemma3_1b,PROMPT 2,10SHOT,chrf2,25.99
gemma3_1b,PROMPT 2,10SHOT,ter,126.72
gemma3_1b,PROMPT 2,10SHOT,rougeL_f1,22.91
gemma3_1b,PROMPT 2,10SHOT,meteor,22.4
gemma3_1b,PROMPT 2,10SHOT,bertscore,70.73
gemma3_1b,PROMPT 2,10SHOT,comet,62.29
gemma3_1b,PROMPT 3,0SHOT,sacrebleu,4.52
gemma3_1b,PROMPT 3,0SHOT,chrf2,22.4
gemma3_1b,PROMPT 3,0SHOT,ter,93.7
gemma3_1b,PROMPT 3,0SHOT,rougeL_f1,20.99
gemma3_1b,PROMPT 3,0SHOT,meteor,19.03
gemma3_1b,PROMPT 3,0SHOT,bertscore,71.62
gemma3_1b,PROMPT 3,0SHOT,comet,57.93
gemma3_1b,PROMPT 3,1SHOT,sacrebleu,5.9
gemma3_1b,PROMPT 3,1SHOT,chrf2,28.32
gemma3_1b,PROMPT 3,1SHOT,ter,88.58
gemma3_1b,PROMPT 3,1SHOT,rougeL_f1,29.46
gemma3_1b,PROMPT 3,1SHOT,meteor,26.52
gemma3_1b,PROMPT 3,1SHOT,bertscore,74.94
gemma3_1b,PROMPT 3,1SHOT,comet,64.03
gemma3_1b,PROMPT 3,2SHOT,sacrebleu,5.29
gemma3_1b,PROMPT 3,2SHOT,chrf2,27.66
gemma3_1b,PROMPT 3,2SHOT,ter,96.14
gemma3_1b,PROMPT 3,2SHOT,rougeL_f1,27.84
gemma3_1b,PROMPT 3,2SHOT,meteor,25.62
gemma3_1b,PROMPT 3,2SHOT,bertscore,73.98
gemma3_1b,PROMPT 3,2SHOT,comet,64.34
gemma3_1b,PROMPT 3,3SHOT,sacrebleu,5.72
gemma3_1b,PROMPT 3,3SHOT,chrf2,28.57
gemma3_1b,PROMPT 3,3SHOT,ter,94.21
gemma3_1b,PROMPT 3,3SHOT,rougeL_f1,28.92
gemma3_1b,PROMPT 3,3SHOT,meteor,26.73
gemma3_1b,PROMPT 3,3SHOT,bertscore,74.56
gemma3_1b,PROMPT 3,3SHOT,comet,65.34
gemma3_1b,PROMPT 3,5SHOT,sacrebleu,5.61
gemma3_1b,PROMPT 3,5SHOT,chrf2,28.92
gemma3_1b,PROMPT 3,5SHOT,ter,94.15
gemma3_1b,PROMPT 3,5SHOT,rougeL_f1,28.65
gemma3_1b,PROMPT 3,5SHOT,meteor,26.67
gemma3_1b,PROMPT 3,5SHOT,bertscore,74.31
gemma3_1b,PROMPT 3,5SHOT,comet,65.42
gemma3_1b,PROMPT 3,10SHOT,sacrebleu,5.4
gemma3_1b,PROMPT 3,10SHOT,chrf2,28.73
gemma3_1b,PROMPT 3,10SHOT,ter,97.22
gemma3_1b,PROMPT 3,10SHOT,rougeL_f1,28.96
gemma3_1b,PROMPT 3,10SHOT,meteor,26.92
gemma3_1b,PROMPT 3,10SHOT,bertscore,74.49
gemma3_1b,PROMPT 3,10SHOT,comet,65.68
gemma3_1b,PROMPT 4,0SHOT,sacrebleu,3.97
gemma3_1b,PROMPT 4,0SHOT,chrf2,26.25
gemma3_1b,PROMPT 4,0SHOT,ter,101.89
gemma3_1b,PROMPT 4,0SHOT,rougeL_f1,24.2
gemma3_1b,PROMPT 4,0SHOT,meteor,22.8
gemma3_1b,PROMPT 4,0SHOT,bertscore,72.24
gemma3_1b,PROMPT 4,0SHOT,comet,63.17
gemma3_1b,PROMPT 4,1SHOT,sacrebleu,4.85
gemma3_1b,PROMPT 4,1SHOT,chrf2,27.58
gemma3_1b,PROMPT 4,1SHOT,ter,95.26
gemma3_1b,PROMPT 4,1SHOT,rougeL_f1,26.37
gemma3_1b,PROMPT 4,1SHOT,meteor,24.44
gemma3_1b,PROMPT 4,1SHOT,bertscore,73.8
gemma3_1b,PROMPT 4,1SHOT,comet,64.46
gemma3_1b,PROMPT 4,2SHOT,sacrebleu,4.67
gemma3_1b,PROMPT 4,2SHOT,chrf2,28.41
gemma3_1b,PROMPT 4,2SHOT,ter,97.72
gemma3_1b,PROMPT 4,2SHOT,rougeL_f1,27.28
gemma3_1b,PROMPT 4,2SHOT,meteor,25.47
gemma3_1b,PROMPT 4,2SHOT,bertscore,73.91
gemma3_1b,PROMPT 4,2SHOT,comet,66.05
gemma3_1b,PROMPT 4,3SHOT,sacrebleu,4.33
gemma3_1b,PROMPT 4,3SHOT,chrf2,28.5
gemma3_1b,PROMPT 4,3SHOT,ter,99.46
gemma3_1b,PROMPT 4,3SHOT,rougeL_f1,27.56
gemma3_1b,PROMPT 4,3SHOT,meteor,25.92
gemma3_1b,PROMPT 4,3SHOT,bertscore,73.98
gemma3_1b,PROMPT 4,3SHOT,comet,66.35
gemma3_1b,PROMPT 4,5SHOT,sacrebleu,4.68
gemma3_1b,PROMPT 4,5SHOT,chrf2,28.56
gemma3_1b,PROMPT 4,5SHOT,ter,98.02
gemma3_1b,PROMPT 4,5SHOT,rougeL_f1,27.52
gemma3_1b,PROMPT 4,5SHOT,meteor,25.81
gemma3_1b,PROMPT 4,5SHOT,bertscore,74.09
gemma3_1b,PROMPT 4,5SHOT,comet,66.42
gemma3_1b,PROMPT 4,10SHOT,sacrebleu,4.86
gemma3_1b,PROMPT 4,10SHOT,chrf2,28.75
gemma3_1b,PROMPT 4,10SHOT,ter,97.28
gemma3_1b,PROMPT 4,10SHOT,rougeL_f1,27.91
gemma3_1b,PROMPT 4,10SHOT,meteor,26.0
gemma3_1b,PROMPT 4,10SHOT,bertscore,74.19
gemma3_1b,PROMPT 4,10SHOT,comet,66.23
gemma3_270m,PROMPT 0,0SHOT,sacrebleu,1.86
gemma3_270m,PROMPT 0,0SHOT,chrf2,12.37
gemma3_270m,PROMPT 0,0SHOT,ter,105.3
gemma3_270m,PROMPT 0,0SHOT,rougeL_f1,11.76
gemma3_270m,PROMPT 0,0SHOT,meteor,10.91
gemma3_270m,PROMPT 0,0SHOT,bertscore,63.65
gemma3_270m,PROMPT 0,0SHOT,comet,48.0
gemma3_270m,PROMPT 0,1SHOT,sacrebleu,0.0
gemma3_270m,PROMPT 0,1SHOT,chrf2,5.01
gemma3_270m,PROMPT 0,1SHOT,ter,99.5
gemma3_270m,PROMPT 0,1SHOT,rougeL_f1,1.94
gemma3_270m,PROMPT 0,1SHOT,meteor,1.63
gemma3_270m,PROMPT 0,1SHOT,bertscore,61.65
gemma3_270m,PROMPT 0,1SHOT,comet,35.12
gemma3_270m,PROMPT 0,2SHOT,sacrebleu,2.87
gemma3_270m,PROMPT 0,2SHOT,chrf2,22.16
gemma3_270m,PROMPT 0,2SHOT,ter,104.92
gemma3_270m,PROMPT 0,2SHOT,rougeL_f1,18.27
gemma3_270m,PROMPT 0,2SHOT,meteor,16.84
gemma3_270m,PROMPT 0,2SHOT,bertscore,69.83
gemma3_270m,PROMPT 0,2SHOT,comet,55.24
gemma3_270m,PROMPT 0,3SHOT,sacrebleu,2.82
gemma3_270m,PROMPT 0,3SHOT,chrf2,23.57
gemma3_270m,PROMPT 0,3SHOT,ter,110.47
gemma3_270m,PROMPT 0,3SHOT,rougeL_f1,21.43
gemma3_270m,PROMPT 0,3SHOT,meteor,20.19
gemma3_270m,PROMPT 0,3SHOT,bertscore,70.84
gemma3_270m,PROMPT 0,3SHOT,comet,58.48
gemma3_270m,PROMPT 0,5SHOT,sacrebleu,2.28
gemma3_270m,PROMPT 0,5SHOT,chrf2,18.46
